Description for the data in the LakeTemperatureAllLoopVariables.txt
1. The first column contains the name of variables that are used by the LakeTemperature.
2. The top row displays various sections (divided by "|") that illustrate the sequence of execution:
lakeTemperature(main) -> its subroutine->return to main -> its subroutine -> main
3. Every column within code section (divided by "|") represents a "do loop" (Fortran) segment.
The value of each table element indicates the usage of a variable in that "do loop", the value could be "ro, wo, ro, -". ro: read-only, wo: write-only, rw: read-write, -: not in use"


                             |LakeTemperature                |soilthermprop_ |LakeTemperature                    |phasechange_lake           |LakeTemperature            |soilthermprop_ |LakeTemperature    
filter_lakec                 ro  ro  -   ro  ro  ro  -   ro  |ro ro  ro  ro  |ro ro  -   ro  ro  -   ro  ro  ro  |ro ro  ro  ro  ro  ro  ro  |ro ro  ro  ro  ro  ro  ro  |ro ro  ro  ro  |ro ro  ro  -   ro  
lake_col_to_filter           wo  -   ro  -   -   -   ro  -   |-  -   -   -   |-  -   ro  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
ocvts                        wo  -   -   -   -   -   -   -   |-  -   -   -   |rw rw  -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   ro  -   -   
puddle                       wo  -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  wo  -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
frzn                         wo  -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
bottomconvect                wo  -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   wo  -   -   -   |-  -   -   -   |-  -   -   -   -   
hc_soisno                    wo  -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |wo rw  -   -   -   
hc_soi                       wo  -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  rw  -   -   -   
jconvect                     wo  -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   wo  -   -   -   -   |-  -   -   -   |-  -   -   -   -   
jconvectbot                  wo  -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   wo  -   -   |-  -   -   -   |-  -   -   -   -   
lakeresist                   wo  -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   rw  -   |-  -   -   -   |-  -   -   -   -   
